REPOSITORY                                                                       TAG                                                     IMAGE ID            CREATED             SIZE
node                                                                             15.5.0                                                  5cfe2963d143        9 days ago          936MB
hh-combination-bbvv/cabinetry-histfitter                                         debug-local                                             a2f9f020cd91        2 weeks ago         1.26GB
gitlab-registry.cern.ch/hh-combination-bbvv/cabinetry-histfitter                 latest                                                  b64cd42fe0a6        2 weeks ago         1.26GB
histfitter/histiftter                                                            debug-local                                             22a9a4cc91b3        2 weeks ago         2.81GB
gitlab-registry.cern.ch/atlas-amglab/atlstats/stats-base                         debug-latest                                            542b8d9850b1        2 weeks ago         994MB
gitlab-registry.cern.ch/illinois/histfitter                                      latest                                                  0ccf22668020        2 weeks ago         1.04GB
python                                                                           3.8-slim                                                2be36bcc692b        2 weeks ago         113MB
minlag/mermaid-cli                                                               latest                                                  cbc7ebe75965        2 weeks ago         1.25GB
python                                                                           3.8                                                     48b0836f5043        2 weeks ago         882MB
python                                                                           3.9                                                     0611cf846c85        2 weeks ago         885MB
minlag/mermaid-cli                                                               8.8.4                                                   ead4e5f8f000        3 weeks ago         897MB
ubuntu                                                                           20.04                                                   f643c72bc252        5 weeks ago         72.9MB
kratsg/voms-atlas                                                                latest                                                  85d415068932        6 weeks ago         451MB
pyhf/pyhf-validation-root-base                                                   root6.22.02-python3.8                                   15d098c4bf5f        6 weeks ago         1.03GB
ghcr.io/pre-commit-ci/runner-image                                               latest                                                  b4267f19a874        7 weeks ago         1.18GB
scailfin/madgraph5-amc-nlo                                                       mg5_amc2.8.2                                            f7a0b9d8911d        8 weeks ago         1.03GB
madjax/madjax                                                                    debug-local                                             54fff4230507        2 months ago        1.23GB
scailfin/mg5amc_pythonmes                                                        debug-local                                             00d3ff939e6f        2 months ago        960MB
scailfin/madgraph5-amc-nlo                                                       <none>                                                  56c94fb40a00        2 months ago        960MB
scailfin/madgraph5-amc-nlo                                                       debug-local                                             c729e091598d        2 months ago        961MB
pyhf/pyhf                                                                        latest-stable                                           4396f57ccec6        2 months ago        274MB
python                                                                           <none>                                                  41dcfe21e8fd        2 months ago        113MB
gitlab-registry.cern.ch/akraszna/atlas-stats-demonstrator                        master                                                  9387bbd8744d        2 months ago        2.36GB
pyhf/pyhf                                                                        latest                                                  203c27dfc018        2 months ago        277MB
scailfin/madgraph5-amc-nlo                                                       mg5-installer-build                                     f778263e29f7        2 months ago        2.24GB
matthewfeickert/pythia-python                                                    pythia8.303                                             6ead34681486        2 months ago        591MB
matthewfeickert/pythia-python                                                    debug-local                                             be5e216212c0        2 months ago        592MB
nvidia/cuda                                                                      11.1-runtime-ubuntu20.04                                42db43f81455        2 months ago        2.49GB
atlasamglab/stats                                                                root6.22.02                                             4d14b2290ca5        2 months ago        990MB
atlasamglab/stats-base                                                           root6.22.02                                             b42f718d3d65        2 months ago        997MB
atlasamglab/stats-base                                                           debug-local                                             6e6c7136c784        2 months ago        4.93GB
gitlab-registry.cern.ch/atlas-amglab/atlstats/root-base                          debug-latest                                            2249b1fcead9        2 months ago        3.26GB
matthewfeickert/docker-python3-ubuntu                                            3.8.3                                                   2520edd92165        3 months ago        1.01GB
scailfin/madgraph5-amc-nlo                                                       mg5_amc2.8.1-debug                                      9a0bdae82b8f        3 months ago        2.32GB
scailfin/madgraph5-amc-nlo                                                       mg5_amc2.8.1-python3                                    a1c1b5aab939        3 months ago        866MB
buildpack-deps                                                                   bionic                                                  ba27ba8c1b38        3 months ago        618MB
gitlab-registry.cern.ch/histfitter/histfitter                                    v0.65.0                                                 c13edb349038        3 months ago        1.05GB
python                                                                           3.5                                                     3687eb5ea744        3 months ago        871MB
python                                                                           <none>                                                  6cf621cb1327        3 months ago        113MB
prairielearn/prairielearn                                                        latest                                                  bd6da4f0409f        3 months ago        3.16GB
gitlab-registry.cern.ch/feickert/root-builds                                     latest                                                  47f6a6559a25        3 months ago        1.13GB
dguest/pandamonium                                                               debug-local                                             dbe1be2bfc6f        3 months ago        269MB
gitlab-registry.cern.ch/feickert/sam-builds-root-5                               latest                                                  4efce69571d1        3 months ago        883MB
atlasamglab/stats                                                                root6.22.00                                             dbc05ae66250        4 months ago        1.04GB
ghcr.io/matthewfeickert/skopeo-docker                                            latest                                                  1f98976c2852        4 months ago        901MB
physicsillinois/phys-2xx                                                         latest                                                  8f7c38a5814e        4 months ago        2.45GB
physicsillinois/phys-2xx                                                         debug-local                                             6ccdaeac9813        4 months ago        2.53GB
gitlab-registry.cern.ch/feickert/v7-recast/bootcamp                              latest                                                  64c6c159f0b9        4 months ago        4.26GB
vhbb_test                                                                        latest                                                  d70d54ec269d        4 months ago        4.26GB
matthewfeickert/intro-to-docker                                                  bootcamp-2020                                           f4279e4a8ab0        4 months ago        1.45GB
matthewfeickert/intro-to-docker                                                  latest                                                  f4279e4a8ab0        4 months ago        1.45GB
matthewfeickert/intro-to-docker                                                  debug-local                                             b262b181b5da        4 months ago        1.45GB
